t_s,calib_sys,calib_gyro,calib_accel,calib_mag,heading,roll,pitch,ax,ay,az
10.411,0,0,0,0,359.31,-1.62,3.88,-0.05,0.36,-0.2
10.526,0,0,0,0,359.25,-1.94,3.62,-0.01,0.25,-0.22
10.641,0,0,0,0,359.25,-1.88,2.44,-0.02,0.12,-0.25
10.757,0,0,0,0,359.31,-1.88,2.88,-0.01,0.19,-0.23
10.871,0,0,0,0,359.38,-1.81,2.81,-0.04,0.17,-0.24
10.987,0,0,0,0,359.38,-1.81,3.62,-0.06,0.34,-0.22
11.102,0,0,0,0,359.12,-1.75,3.5,-0.06,0.3,-0.22
11.216,0,0,0,0,359.19,-1.81,3.44,-0.07,0.27,-0.21
11.330,0,0,0,0,359.25,-1.81,3.75,0.0,0.48,-0.25
11.445,0,0,0,0,359.25,-1.69,3.88,-0.05,0.3,-0.25
11.561,0,0,0,0,359.25,-1.5,3.06,-0.08,0.2,-0.24
11.675,0,0,0,0,359.38,-1.38,1.88,-0.11,0.01,-0.25
11.791,0,0,0,0,359.5,-1.38,2.62,-0.15,0.15,-0.25
11.905,0,0,0,0,359.25,-1.38,2.06,-0.1,0.07,-0.26
12.020,0,0,0,0,359.5,-1.25,1.31,-0.15,-0.03,-0.25
12.134,0,0,0,0,359.56,-1.25,0.75,-0.16,-0.11,-0.26
12.249,0,0,0,0,359.62,-1.06,1.31,-0.19,-0.08,-0.25
12.365,0,0,0,0,359.56,-1.19,0.25,-0.14,-0.24,-0.24
12.480,0,0,0,0,359.62,-1.25,0.38,-0.15,-0.21,-0.24
12.596,0,0,0,0,359.75,-1.38,1.38,-0.1,-0.05,-0.25
12.710,0,0,0,0,359.69,-1.38,2.06,-0.13,0.04,-0.24
12.824,0,0,0,0,359.69,-1.44,3.0,-0.19,0.23,-0.23
12.939,0,0,0,0,359.38,-1.31,1.56,-0.11,0.07,-0.24
13.054,0,0,0,0,359.31,-1.25,2.81,-0.06,0.14,-0.26
13.170,0,0,0,0,359.38,-1.06,3.69,-0.24,0.31,-0.24
13.284,0,0,0,0,359.38,-1.25,3.19,-0.15,0.23,-0.22
13.400,0,0,0,0,359.31,-1.38,3.81,-0.13,0.35,-0.23
13.514,0,0,0,0,359.44,-1.44,4.88,-0.11,0.52,-0.21
13.628,0,0,0,0,359.44,-1.38,3.31,-0.16,0.26,-0.21
13.742,0,0,0,0,359.38,-1.44,3.5,-0.07,0.35,-0.22
13.856,0,0,0,0,359.81,-1.12,2.44,-0.14,0.15,-0.25
13.973,0,0,0,0,359.94,-1.12,2.19,-0.17,0.08,-0.22
14.086,0,0,0,0,0.0,-1.19,1.88,-0.13,0.04,-0.24
14.201,0,0,0,0,359.94,-1.31,2.25,-0.12,0.08,-0.24
14.316,0,0,0,0,359.94,-1.31,1.5,-0.16,0.0,-0.25
14.430,0,0,0,0,359.81,-1.25,2.0,-0.15,0.05,-0.22
14.544,0,0,0,0,359.75,-1.12,1.25,-0.12,-0.1,-0.24
14.659,0,0,0,0,359.69,-1.0,1.25,-0.17,-0.14,-0.26
14.774,0,0,0,0,359.62,-1.06,1.38,-0.19,-0.12,-0.24
14.888,0,0,0,0,359.44,-1.25,0.31,-0.15,-0.27,-0.25
15.003,0,0,0,0,359.38,-1.19,0.31,-0.09,-0.24,-0.25
15.120,0,0,0,0,359.44,-1.38,0.69,-0.14,-0.18,-0.25
15.234,0,0,0,0,359.44,-1.31,0.25,-0.1,-0.24,-0.23
15.348,0,0,0,0,359.31,-1.25,0.31,-0.11,-0.22,-0.24
15.463,0,0,0,0,359.0,-1.69,0.75,-0.03,-0.15,-0.25
15.578,0,0,0,0,358.88,-1.62,0.94,-0.06,-0.16,-0.26
15.692,0,0,0,0,358.75,-1.56,0.75,-0.08,-0.23,-0.24
15.807,0,0,0,0,358.75,-1.56,-0.19,-0.07,-0.34,-0.25
15.924,0,0,0,0,358.75,-1.5,-0.88,-0.11,-0.46,-0.26
16.038,0,0,0,0,358.75,-1.62,-0.19,-0.09,-0.31,-0.25
